employee_id,first_name,last_name,email,gender,birth_date,salary
29-6242859,Maggi,Firebrace,mfirebrace0@sphinn.com,F,1999-05-02,8200
98-3021022,Nichol,Deverall,ndeverall1@youtube.com,F,1982-05-25,8584
79-9892860,Olivier,Gornal,ogornal2@usatoday.com,M,1989-01-04,1026
97-8071027,Tucky,Hunnicot,thunnicot3@deviantart.com,M,1980-08-05,6091
91-9777482,Mellicent,Leftridge,mleftridge4@pagesperso-orange.fr,F,1990-01-29,8463
24-4968833,Orin,Exall,oexall5@hugedomains.com,M,2000-06-24,3222
70-9677400,Cordie,Quinby,cquinby6@usatoday.com,F,1997-11-24,9937
08-8769748,Rodger,Wickey,rwickey7@parallels.com,M,1987-11-19,9450
96-0575896,Thaxter,Belk,tbelk8@admin.ch,M,1980-07-16,1240
75-4299868,Stevena,McIlvaney,smcilvaney9@bigcartel.com,F,1986-10-10,9063
