employee_id,first_name,last_name,email,gender,birth_date,salary
79-8035819,Hanny,Stubs,hstubs0@github.com,F,1996-02-02,7061
24-9676514,Val,Bonnick,vbonnick1@icq.com,M,1991-09-11,2657
61-3900911,Juanita,Lanfranconi,jlanfranconi2@rediff.com,F,1992-07-08,7241
28-0495338,Elsie,Brownlea,ebrownlea3@theglobeandmail.com,F,1985-11-03,8026
13-9980006,Chris,Kettlestringes,ckettlestringes4@indiegogo.com,M,1994-12-14,1015
38-1845963,Boris,Yvens,byvens5@slideshare.net,M,1981-07-25,1798
09-2801260,Malory,Andrin,mandrin6@tripod.com,F,1999-10-23,1442
08-9859146,Kele,Orpen,korpen7@phpbb.com,M,1989-08-08,1448
91-7360438,Jennee,Oldroyde,joldroyde8@indiegogo.com,F,1981-05-28,7347
31-1588173,Marlene,Tricker,mtricker9@uol.com.br,F,1985-04-26,6351
