employee_id,first_name,last_name,email,gender,birth_date,salary
75-1578378,Quintina,Defrain,qdefrain0@about.me,F,1999-01-18,1164
61-9093088,Carolyne,Nuccii,cnuccii1@usnews.com,F,1999-01-17,6925
31-4412412,Sig,Youle,syoule2@dion.ne.jp,M,1999-05-03,5930
24-7537237,Adore,Kneafsey,akneafsey3@nydailynews.com,F,1991-07-21,7702
32-0818477,Jeanelle,Behning,jbehning4@auda.org.au,F,1983-11-25,5365
99-3998419,Crosby,Croom,ccroom5@weibo.com,M,1987-08-05,3815
58-3038656,Mic,Colombier,mcolombier6@baidu.com,M,1982-01-06,8853
15-8932091,Udall,Thomassin,uthomassin7@amazonaws.com,M,1994-09-18,5568
31-7934783,Ogdan,Peskett,opeskett8@liveinternet.ru,M,1998-05-26,1385
62-6095578,Rachel,Fowkes,rfowkes9@who.int,F,1991-07-10,2921
