employee_id,first_name,last_name,email,gender,birth_date,salary
76-0076413,Ediva,Belitz,ebelitz0@cam.ac.uk,F,1989-06-12,1055
50-7127044,Hamil,Grass,hgrass1@bandcamp.com,M,1984-05-15,4225
91-8388679,Enrika,MacDearmid,emacdearmid2@msu.edu,F,2000-07-14,6879
59-0648780,Celine,Christauffour,cchristauffour3@taobao.com,F,1994-05-22,6413
08-3463261,Lorne,Stranger,lstranger4@washingtonpost.com,F,1987-07-17,4440
67-2264242,Maggy,Simka,msimka5@cnbc.com,F,1980-10-31,8872
12-4590715,Guilbert,Kobke,gkobke6@alexa.com,M,1989-03-25,9725
82-5912681,Isis,Yesinin,iyesinin7@is.gd,F,1986-02-17,9066
59-5690299,Fanya,Zeplin,fzeplin8@google.com.hk,F,1981-06-25,3907
32-4609610,Lowe,Patrie,lpatrie9@acquirethisname.com,M,1992-02-04,7669
